Connection Details,,,,,
Timestamp,Total Connections,HTTP Connections,SSH Connections,SYN_RECV Connections,Unique Web Sources
2025-04-21 1:55:33,8,0,2,0,0
2025-04-21 1:55:34,8,0,2,0,0
2025-04-21 1:55:35,8,0,2,0,0
2025-04-21 1:55:36,8,0,2,0,0
2025-04-21 1:55:37,8,0,2,0,0
2025-04-21 1:55:38,8,0,2,0,0
2025-04-21 1:55:39,8,0,2,0,0
2025-04-21 1:55:40,8,0,2,0,0
2025-04-21 1:55:41,8,0,2,0,0
2025-04-21 1:55:42,8,0,2,0,0
2025-04-21 1:55:43,8,0,2,0,0
2025-04-21 1:55:44,8,0,2,0,0
2025-04-21 1:55:45,8,0,2,0,0
2025-04-21 1:55:46,8,0,2,0,0
2025-04-21 1:55:47,8,0,2,0,0
2025-04-21 1:55:48,8,0,2,0,0
2025-04-21 1:55:49,8,0,2,0,0
2025-04-21 1:55:50,8,0,2,0,0
2025-04-21 1:55:51,8,0,2,0,0
2025-04-21 1:55:52,8,0,2,0,0
2025-04-21 1:55:53,8,0,2,0,0
2025-04-21 1:55:54,8,0,2,0,0
2025-04-21 1:55:55,8,0,2,0,0
2025-04-21 1:55:56,8,0,2,0,0
2025-04-21 1:55:57,8,0,2,0,0
2025-04-21 1:55:58,8,0,2,0,0
2025-04-21 1:55:59,8,0,2,0,0
2025-04-21 1:56:00,8,0,2,0,0
2025-04-21 1:56:01,9,1,2,0,1
2025-04-21 1:56:02,8,0,2,0,0
2025-04-21 1:56:03,8,0,2,0,0
2025-04-21 1:56:04,8,0,2,0,0
2025-04-21 1:56:05,8,0,2,0,0
2025-04-21 1:56:06,8,0,2,0,0
2025-04-21 1:56:07,8,0,2,0,0
2025-04-21 1:56:08,8,0,2,0,0
2025-04-21 1:56:09,8,0,2,0,0
2025-04-21 1:56:10,8,0,2,0,0
2025-04-21 1:56:11,8,0,2,0,0
2025-04-21 1:56:12,8,0,2,0,0
2025-04-21 1:56:13,8,0,2,0,0
2025-04-21 1:56:14,8,0,2,0,0
2025-04-21 1:56:15,8,0,2,0,0
2025-04-21 1:56:16,8,0,2,0,0
